,accuracy,precision (macro),recall (macro),f1-score (macro)
mobilenet,0.9852941176470589,0.9846109175377469,0.982142857142857,0.9832920559870916
mobilevit,0.9926470588235294,0.989010989010989,0.994047619047619,0.9912462006079028
swin,0.13970588235294118,0.033772374197906116,0.14183673469387756,0.05403508771929825
